iter	Accuracy	MultiClass
231	0.9856845238	0.07959409441
232	0.9857440476	0.07951376052
233	0.9857738095	0.07947767712
234	0.9857440476	0.07939018613
235	0.9856845238	0.07929600307
236	0.9857142857	0.07918475923
237	0.9858928571	0.07880658831
238	0.9858630952	0.07872832525
239	0.985922619	0.07855470203
240	0.9859821429	0.07842123122
241	0.9860119048	0.07819932483
242	0.985922619	0.07810073853
243	0.9858928571	0.07798957461
244	0.9858928571	0.07787683396
245	0.985922619	0.07781881423
246	0.985952381	0.07764693487
247	0.9859821429	0.0775811041
248	0.9860416667	0.07730838594
249	0.9860416667	0.07726029896
250	0.9860119048	0.07708688645
251	0.98625	0.07687159947
252	0.98625	0.0767944118
253	0.9863690476	0.07662753151
254	0.9863988095	0.07655846732
255	0.9863988095	0.07634909494
256	0.9863988095	0.0761932809
257	0.9864583333	0.07609428769
258	0.9864583333	0.07600417364
259	0.986547619	0.07588393438
260	0.9865178571	0.07557413737
261	0.9866369048	0.07534079415
262	0.9866666667	0.07533059256
263	0.9867559524	0.07522224063
264	0.9866666667	0.07510708037
265	0.9866964286	0.07504685175
266	0.9866964286	0.07496250698
267	0.9867261905	0.07492897397
268	0.9866666667	0.07481303624
269	0.9867857143	0.07462594169
270	0.9869047619	0.07415261405
271	0.9868452381	0.07391876947
272	0.9869047619	0.0738747733
273	0.9868452381	0.07373979114
274	0.9868154762	0.07360387166
275	0.9868452381	0.07343661354
276	0.986875	0.07336077736
277	0.9869047619	0.07329180036
278	0.9870238095	0.07317530314
279	0.9871428571	0.0729855056
280	0.9871428571	0.07282863072
281	0.9871428571	0.07277938116
282	0.987172619	0.07271009899
283	0.9873511905	0.07245616368
284	0.9873214286	0.07221532912
285	0.9873511905	0.07214727493
286	0.9873809524	0.07200139364
287	0.9873511905	0.07195350284
288	0.9873809524	0.07173074631
289	0.9874404762	0.07159922282
290	0.9876488095	0.07109670003
291	0.9877380952	0.07096332368
292	0.9877678571	0.07068478539
293	0.9877380952	0.07059440976
294	0.9877678571	0.07049681891
295	0.9877380952	0.07043138777
296	0.987827381	0.07027850923
297	0.987797619	0.07026728312
298	0.9879166667	0.07016778855
299	0.9879464286	0.07002630325
300	0.9879464286	0.06988932292
301	0.9879166667	0.06985911051
302	0.9879464286	0.06981213524
303	0.9879761905	0.06975087484
304	0.9880059524	0.06958004179
305	0.988125	0.06952438354
306	0.9881547619	0.06948075067
307	0.9881845238	0.06934959048
308	0.9882738095	0.06914507185
309	0.9882142857	0.06893181937
310	0.9883630952	0.06879247756
311	0.9883333333	0.06853410993
312	0.9883035714	0.06845785232
313	0.9883035714	0.0682997422
314	0.9883333333	0.06814381191
315	0.9883630952	0.06794584002
316	0.9883928571	0.06785601661
317	0.9884821429	0.06776595343
318	0.9886011905	0.06741875058
319	0.9886607143	0.06731317429
320	0.98875	0.06716318766
321	0.9887202381	0.06703684489
322	0.9888095238	0.06690421695
323	0.9887797619	0.06688250587
324	0.9888095238	0.06673604329
325	0.9887797619	0.06668938046
326	0.9888095238	0.06663885934
327	0.9889285714	0.06650279454
328	0.9889285714	0.06639181228
329	0.9888690476	0.06625539144
330	0.9888690476	0.06610661825
331	0.9888988095	0.0660883513
332	0.989077381	0.06597455706
333	0.989047619	0.06589223226
334	0.989047619	0.06588340396
335	0.989047619	0.06579846337
336	0.989077381	0.06574693952
337	0.9891369048	0.06565173921
338	0.989047619	0.06559220087
339	0.989077381	0.06558526902
340	0.989077381	0.06558183216
341	0.9891369048	0.06550077166
342	0.9891071429	0.06548316592
343	0.9891071429	0.06541578747
344	0.9891071429	0.06536199661
345	0.9891071429	0.06521938506
346	0.989077381	0.06513368152
347	0.989077381	0.06497258504
348	0.989077381	0.06491997855
349	0.9891666667	0.06481243315
350	0.9892857143	0.06473108927
351	0.9893154762	0.06466291155
352	0.9893452381	0.06450177147
353	0.9894345238	0.06438677107
354	0.9894345238	0.06432861328
355	0.9894642857	0.06419723511
356	0.9895535714	0.06403161912
357	0.9896130952	0.0638836016
358	0.9896428571	0.06374525524
359	0.9897321429	0.06368934995
360	0.989702381	0.06348214286
361	0.9897916667	0.06325028192
362	0.9897321429	0.06320876349
363	0.9898511905	0.0631112017
364	0.9898214286	0.06310823713
365	0.9898511905	0.06298498971
366	0.9897619048	0.06285279047
367	0.9900595238	0.06270479475
368	0.99	0.06262570336
369	0.99	0.06252692086
370	0.99	0.06243092128
371	0.99	0.06227336339
372	0.99	0.06224188668
373	0.9900595238	0.0621034386
374	0.9900595238	0.06204456874
375	0.9901488095	0.06197676886
376	0.9901488095	0.06192566645
377	0.9901785714	0.06178027925
378	0.9902380952	0.06168773833
379	0.9902380952	0.0615625436
380	0.990327381	0.06147313436
381	0.9902678571	0.06144724528
382	0.990297619	0.06129440308
383	0.9903571429	0.0612609282
384	0.990327381	0.06113293602
385	0.9903869048	0.06091952733
386	0.9903869048	0.06087222871
387	0.9904166667	0.06075041271
388	0.9903869048	0.06069730123
389	0.9904761905	0.06061052595
390	0.9904464286	0.06042122251
391	0.9905059524	0.06034306117
392	0.9905059524	0.06032799857
393	0.9905357143	0.06029207502
394	0.9904166667	0.0601860228
